=====linear_1=====
Epoch 52 - loss: 4.852481146392822 ; sparse_categorical_accuracy : 0.01576000079512596 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 53 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 54 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 55 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 56 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 57 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 58 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 59 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 60 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 61 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 62 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 63 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 64 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 65 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 66 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 67 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 68 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 69 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 70 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 71 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 72 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
Epoch 73 - loss: 4.852480921783448 ; sparse_categorical_accuracy : 0.015720000490546227 ; val_loss : 4.852644274902344 ; val_sparse_categorical_accuracy : 0.01510000042617321
